title  Photometry data for T356120921 from search centered on 19 50 50.248 .48 04 51.09 using the apass calibration catalog
Median of Right Ascension  297.70578, rms   0.00271
Median of Declination       48.07639, rms   0.00197
Median of magcal_magdep        10.65, rms      0.26
Median of magcal_local_rms      0.16, rms      0.33
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2412664.752526	1893.548637	10.67	 0.14	13.18	297.70422	 48.07381	 12.4	0.179	i08824	152	557184	1080978432	577	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,6,9
2412665.748079	1893.551365	10.77	 0.19	13.21	297.70379	 48.07405	 46.7	0.039	i08850	151	557184	1080978432	593	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,4,6,9
2412666.765446	1893.554152	10.81	 0.15	13.19	297.70268	 48.07364	 -7.7	0.348	i08880	152	557184	1080975360	641	0.000700	7,15,19	13,14,17,18,19,21,22,30	0,7,9
2412686.631679	1893.608580	10.64	 0.13	13.66	297.70394	 48.07385	 41.5	0.116	i09162	152	557056	1080978432	576	0.000700	15,19	10,11,13,14,17,18,19,21,22,30	6,9
2412716.567844	1893.690597	10.62	 0.10	13.46	297.70386	 48.07396	-37.7	0.115	i09416	151	557184	1080978432	577	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,6,9
2412761.469617	1893.813615	10.65	 0.14	13.62	297.70398	 48.07392	-16.7	0.084	i09744	152	557184	1080975360	641	0.000700	7,15,19	13,14,17,18,19,21,22,30	0,7,9
2412948.839594	1894.326958	10.82	 0.17	14.46	297.70371	 48.07410	  1.8	0.308	a00582	151	557056	1080978432	576	0.007500	15,19	10,11,13,14,17,18,19,21,22,30	6,9
2412993.612703	1894.449624	10.49	 0.18	13.90	297.70385	 48.07414	-54.4	0.342	i11180	152	557056	1080976384	704	0.000700	15,19	10,13,14,17,18,19,21,22,30	6,7,9
2412998.623795	1894.463353	10.59	 0.12	14.16	297.70373	 48.07431	-21.6	0.161	i11198	152	557184	1349413888	577	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,28,30	0,6,9
2413051.560312	1894.608384	10.80	 0.13	15.02	297.70410	 48.07470	-33.4	0.144	i11325	152	557184	1349413888	577	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,28,30	0,6,9
2413058.786306	1894.628182	10.65	 0.11	13.57	297.70372	 48.07398	 -0.5	0.538	a00814	151	557184	1080976384	705	0.007500	7,15,19	10,13,14,17,18,19,21,22,30	0,6,7,9
2413093.523015	1894.723351	10.70	 0.19	14.41	297.70378	 48.07406	 38.5	0.035	i11472	152	557184	1080978432	593	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,4,6,9
2413113.543297	1894.778201	10.62	 0.15	14.75	297.70381	 48.07394	-52.9	0.099	i11585	152	557184	1080978432	593	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,4,6,9
2413155.437403	1894.892979	10.72	 0.17	15.59	297.70186	 48.07363	-16.6	0.133	i11963	152	557184	1349411840	705	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	0,6,7,9
2413247.937567	1895.146404	10.65	 0.12	12.89	297.70395	 48.07406	 67.1	0.213	i12431	152	557056	1080975360	640	0.000700	15,19	13,14,17,18,19,21,22,30	7,9
2413316.729588	1895.334876	10.56	 0.14	14.62	297.70413	 48.07409	-75.1	0.199	i12780	152	557184	1080978432	577	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,6,9
